10,Jaylen Adams,PG,22,"6' 2""",190 lbs,St. Bonaventure,"$1,378,242"
1,Justin Anderson,SG,25,"6' 6""",230 lbs,Virginia,"$2,516,048"
24,Kent Bazemore,SG,29,"6' 5""",201 lbs,Old Dominion,"$18,089,887"
95,DeAndre' Bembry,SF,24,"6' 6""",210 lbs,Saint Joseph's,"$1,634,640"
15,Vince Carter,SF,42,"6' 6""",220 lbs,North Carolina,"$1,512,601"
20,John Collins,PF,21,"6' 10""",235 lbs,Wake Forest,"$2,299,080"
14,Dewayne Dedmon,C,29,"7' 0""",245 lbs,USC,"$7,200,000"
2,Tyler Dorsey,SG,22,"6' 5""",183 lbs,Oregon,"$1,378,242"
5,Daniel Hamilton,SG,23,"6' 7""",195 lbs,Connecticut,"$1,349,383"
3,Kevin Huerter,SG,20,"6' 7""",190 lbs,Maryland,"$2,250,960"
25,Alex Len,C,25,"7' 1""",250 lbs,Maryland,"$4,350,000"
7,Jeremy Lin,PG,30,"6' 3""",200 lbs,Harvard,"$13,766,421"
18,Miles Plumlee,C,30,"6' 11""",249 lbs,Duke,"$12,500,000"
22,Alex Poythress,SF,25,"6' 9""",235 lbs,Kentucky,"$1,544,951"
12,Taurean Prince,SF,24,"6' 8""",220 lbs,Baylor,"$2,526,840"
6,Omari Spellman,PF,21,"6' 9""",245 lbs,Villanova,"$1,620,480"
11,Trae Young,PG,20,"6' 2""",180 lbs,Oklahoma,"$5,356,440"
