31,Jarrett Allen,C,20,"6' 11""",237 lbs,Texas,"$2,034,120"
9,DeMarre Carroll,SF,32,"6' 8""",215 lbs,Missouri,"$15,400,000"
33,Allen Crabbe,SG,26,"6' 6""",212 lbs,California,"$18,500,000"
55,Mitchell Creek,SF,26,"6' 6""",225 lbs,-,-
17,Ed Davis,PF,29,"6' 10""",225 lbs,North Carolina,"$4,449,000"
8,Spencer Dinwiddie,PG,25,"6' 6""",210 lbs,Colorado,"$1,656,092"
6,Jared Dudley,SF,33,"6' 7""",237 lbs,Boston College,"$9,530,000"
21,Treveon Graham,SG,25,"6' 5""",225 lbs,Virginia Commonwealth,"$1,512,601"
12,Joe Harris,SF,27,"6' 6""",218 lbs,Virginia,"$8,333,333"
24,Rondae Hollis-Jefferson,SF,24,"6' 7""",217 lbs,Arizona,"$2,470,357"
00,Rodions Kurucs,SF,20,"6' 9""",210 lbs,-,"$1,618,320"
22,Caris LeVert,SG,24,"6' 7""",204 lbs,Michigan,"$1,702,800"
30,Dzanan Musa,SG,19,"6' 9""",208 lbs,-,"$1,632,240"
13,Shabazz Napier,PG,27,"6' 1""",180 lbs,Connecticut,"$1,942,422"
10,Theo Pinson,SG,23,"6' 6""",218 lbs,North Carolina,-
1,D'Angelo Russell,PG,22,"6' 5""",198 lbs,Ohio State,"$7,019,698"
15,Alan Williams,PF,26,"6' 8""",265 lbs,UC Santa Barbara,"$5,000,000"
