7,Dwayne Bacon,SG,23,"6' 7""",221 lbs,Florida State,"$1,378,242"
5,Nicolas Batum,SF,30,"6' 8""",200 lbs,-,"$24,000,000"
8,Bismack Biyombo,C,26,"6' 9""",255 lbs,-,"$17,000,000"
0,Miles Bridges,SF,20,"6' 7""",225 lbs,Michigan State,"$3,206,640"
31,Joe Chealey,PG,23,"6' 3""",190 lbs,Charleston,-
4,Devonte' Graham,PG,23,"6' 2""",185 lbs,Kansas,"$988,464"
41,Willy Hernangomez,C,24,"6' 11""",240 lbs,-,"$1,544,951"
44,Frank Kaminsky,PF,25,"7' 0""",242 lbs,Wisconsin,"$3,627,842"
14,Michael Kidd-Gilchrist,SF,25,"6' 7""",232 lbs,Kentucky,"$13,000,000"
3,Jeremy Lamb,SG,26,"6' 5""",185 lbs,Connecticut,"$7,488,372"
55,J.P. Macura,SG,23,"6' 5""",205 lbs,Xavier,-
1,Malik Monk,SG,20,"6' 3""",200 lbs,Kentucky,"$3,447,480"
9,Tony Parker,PG,36,"6' 2""",185 lbs,-,"$5,000,000"
15,Kemba Walker,PG,28,"6' 1""",184 lbs,Connecticut,"$12,000,000"
2,Marvin Williams,PF,32,"6' 9""",237 lbs,North Carolina,"$14,087,500"
40,Cody Zeller,C,26,"7' 0""",240 lbs,Indiana,"$13,528,090"
