15,Clint Capela,C,24,"6' 10""",240 lbs,-,"$15,293,104"
0,Marquese Chriss,PF,21,"6' 10""",240 lbs,Washington,"$3,206,160"
6,Gary Clark,PF,24,"6' 8""",225 lbs,Cincinnati,"$569,873"
12,Vincent Edwards,SF,22,"6' 8""",225 lbs,Purdue,-
8,James Ennis III,SF,28,"6' 7""",210 lbs,Long Beach State,"$1,621,415"
35,Kenneth Faried,PF,29,"6' 8""",220 lbs,Morehead State,"$683,661"
10,Eric Gordon,SG,30,"6' 4""",215 lbs,Indiana,"$13,500,375"
14,Gerald Green,SG,33,"6' 7""",205 lbs,-,"$1,512,601"
13,James Harden,PG,29,"6' 5""",220 lbs,Arizona State,"$35,650,150"
55,Isaiah Hartenstein,PF,20,"7' 0""",249 lbs,-,"$838,464"
42,Nene Hilario,C,36,"6' 11""",250 lbs,-,"$3,651,480"
4,Danuel House Jr.,SF,25,"6' 7""",220 lbs,Texas A&M,"$116,224"
2,Brandon Knight,PG,27,"6' 3""",195 lbs,Kentucky,"$14,631,250"
3,Chris Paul,PG,33,"6' 0""",175 lbs,Wake Forest,"$35,654,150"
25,Austin Rivers,PG,26,"6' 4""",200 lbs,Duke,"$922,943"
17,PJ Tucker,SF,33,"6' 6""",245 lbs,Texas,"$7,969,537"
