0,Kadeem Allen,SG,26,"6' 3""",200 lbs,Arizona,-
21,Damyean Dotson,SG,24,"6' 6""",210 lbs,Houston,"$1,378,242"
8,Mario Hezonja,SF,23,"6' 8""",225 lbs,-,"$6,500,000"
4,Isaiah Hicks,PF,24,"6' 9""",230 lbs,North Carolina,-
6,DeAndre Jordan,C,30,"6' 11""",265 lbs,Texas A&M,"$22,897,200"
00,Enes Kanter,C,26,"6' 11""",250 lbs,Kentucky,"$18,622,514"
20,Kevin Knox,SF,19,"6' 9""",215 lbs,Kentucky,"$3,739,920"
2,Luke Kornet,PF,23,"7' 1""",250 lbs,Vanderbilt,"$1,619,260"
23,Wesley Matthews,SG,32,"6' 5""",220 lbs,Marquette,"$18,622,514"
1,Emmanuel Mudiay,PG,22,"6' 5""",200 lbs,-,"$4,294,480"
11,Frank Ntilikina,PG,20,"6' 6""",200 lbs,-,"$4,155,720"
26,Mitchell Robinson,C,20,"7' 1""",240 lbs,Western Kentucky,"$1,485,440"
1,Dennis Smith Jr.,PG,21,"6' 3""",195 lbs,North Carolina State,"$3,819,960"
42,Lance Thomas,SF,30,"6' 8""",240 lbs,Duke,"$7,119,650"
14,Allonzo Trier,SG,23,"6' 5""",200 lbs,Arizona,"$3,382,000"
32,Noah Vonleh,PF,23,"6' 9""",250 lbs,Indiana,"$1,512,601"
