8,Alex Abrines,SG,25,"6' 6""",200 lbs,-,"$5,455,236"
12,Steven Adams,C,25,"7' 0""",265 lbs,Pittsburgh,"$24,157,303"
30,Deonte Burton,G,25,"6' 5""",245 lbs,Iowa State,-
6,Hamidou Diallo,SG,20,"6' 5""",198 lbs,Kentucky,"$838,464"
2,Raymond Felton,PG,34,"6' 1""",205 lbs,North Carolina,"$1,512,601"
23,Terrance Ferguson,SG,20,"6' 7""",190 lbs,-,"$2,118,840"
13,Paul George,SF,28,"6' 9""",220 lbs,Fresno State,"$30,560,700"
9,Jerami Grant,SF,24,"6' 9""",220 lbs,Syracuse,"$8,653,847"
15,Donte Grantham,F,23,"6' 8""",215 lbs,Clemson,-
7,Timothe Luwawu-Cabarrot,SG,23,"6' 6""",210 lbs,-,"$1,544,951"
11,Abdel Nader,SF,25,"6' 6""",225 lbs,Iowa State,"$1,378,242"
3,Nerlens Noel,PF,24,"6' 11""",220 lbs,Kentucky,"$1,757,429"
54,Patrick Patterson,PF,29,"6' 9""",230 lbs,Kentucky,"$5,451,600"
21,Andre Roberson,SG,27,"6' 7""",210 lbs,Colorado,"$10,000,000"
17,Dennis Schroder,PG,25,"6' 1""",172 lbs,-,"$15,500,000"
0,Russell Westbrook,PG,30,"6' 3""",200 lbs,UCLA,"$35,654,150"
