15,Ryan Anderson,PF,30,"6' 10""",240 lbs,California,"$20,421,546"
22,Deandre Ayton,C,20,"7' 1""",250 lbs,Arizona,"$8,165,160"
35,Dragan Bender,PF,21,"7' 1""",225 lbs,-,"$4,661,280"
1,Devin Booker,SG,22,"6' 6""",210 lbs,Kentucky,"$3,314,365"
25,Mikal Bridges,SF,22,"6' 7""",210 lbs,Villanova,"$3,552,960"
11,Jamal Crawford,SG,38,"6' 5""",185 lbs,Michigan,"$1,512,601"
30,Troy Daniels,SG,27,"6' 4""",205 lbs,Virginia Commonwealth,"$3,258,539"
0,Jawun Evans,PG,22,"6' 0""",190 lbs,Oklahoma State,"$1,378,242"
21,Richaun Holmes,PF,25,"6' 10""",235 lbs,Bowling Green,"$1,600,520"
20,Josh Jackson,SF,21,"6' 8""",200 lbs,Kansas,"$6,041,520"
8,George King,SF,25,"6' 6""",220 lbs,Colorado,-
14,De'Anthony Melton,PG,20,"6' 4""",200 lbs,USC,"$949,000"
2,Elie Okobo,PG,21,"6' 3""",190 lbs,-,"$1,238,464"
3,Kelly Oubre Jr.,SF,23,"6' 7""",205 lbs,Kansas,"$3,208,630"
10,Emanuel Terry,F,22,"6' 9""",220 lbs,Lincoln Memorial,-
12,T.J. Warren,SF,25,"6' 8""",215 lbs,North Carolina State,"$11,750,000"
